LSOA code,LSOA name,LONG__y,LAT_y,Vehicle crime
E01009416,Birmingham 003A,-1.80588,52.5951,7
E01009417,Birmingham 001A,-1.84982,52.5918,6
E01009418,Birmingham 001B,-1.8376,52.6023,8
E01009419,Birmingham 001C,-1.85037,52.5986,10
E01009420,Birmingham 003B,-1.81511,52.5906,4
E01009421,Birmingham 004A,-1.86436,52.5811,9
E01009422,Birmingham 002B,-1.84062,52.5887,19
E01009423,Birmingham 002C,-1.8249,52.5992,10
E01009424,Birmingham 004B,-1.84681,52.5701,40
E01009425,Birmingham 002D,-1.83108,52.5859,24
E01009426,Birmingham 003C,-1.80634,52.5841,9
E01009427,Birmingham 004C,-1.83553,52.5792,10
E01009428,Birmingham 004D,-1.81389,52.5743,3
E01009429,Birmingham 003D,-1.81586,52.5829,6
E01009430,Birmingham 004E,-1.83173,52.5697,18
E01009431,Birmingham 003E,-1.82537,52.5818,13
E01009432,Birmingham 006A,-1.81166,52.5657,17
E01009433,Birmingham 001D,-1.84502,52.6012,15
E01009434,Birmingham 012A,-1.79023,52.5517,8
E01009435,Birmingham 006B,-1.80219,52.5521,8
E01009436,Birmingham 012B,-1.7944,52.545,9
E01009437,Birmingham 006C,-1.80699,52.547,14
E01009438,Birmingham 012C,-1.7859,52.5402,3
E01009439,Birmingham 021A,-1.80361,52.5336,10
E01009440,Birmingham 012D,-1.79453,52.5364,6
